DEVELOPER_ADDRESS,DEVELOPER_ADDRESS_PRED
sdcode216@gmail.com,undefined
"307 W 200 S Suite 2002
Salt Lake City, UT 84101","307 West 200 South, Salt Lake City, UT 84101, USA"
"P.O. Box 2
Meraux, La 70075",undefined
"4280 NE HWY 20, Corvallis OR","4280 NE Hwy 20, Corvallis, Oregon, USA"
"359 Havendale Cres.
Waterloo, Ontario
N2T 2T2","359 Havendale Crescent, Waterloo, Ontario N2T 2T2, Canada"
"14811 Hidden Pal Ct.
Lake Elsinore, CA 92530","14811 Hidden Palm Ct, Lake Elsinore, CA 92530, USA"
"Mumbai, Maharastra, India","Mumbai, Maharashtra, India"
"Av. de la Gare, 25b
1180 Rolle
Switzerland","Av. de la Gare 25B, 1180 Rolle, Switzerland"
"via Bertora 8/9
16122
Genova
Italy","Via Giovanni Bertora, 8/9, 16122 Genova, Metropolitan City of Genoa, Italy"
"46b Oakhurst Grove, London, SE22 9AQ","46b Oakhurst Grove, London SE22 9AQ, UK"
Atasehir,"Ataşehir, Küçükbakkalköy, Dudullu Osb/Ataşehir/İstanbul, Turkey"
FL3  PL 34 SN 163/1 +2A +2B AUNDH KOTIBAGI LINE/ PUNE-411007,undefined
"Bernard Mörtsell
Skrivarna Software
Spjutkastarvägen 22
SE-56434 Bankeryd
Sweden
","Spjutkastarvägen 22, Bankeryd, Sweden"
"Cyniarska 36/99
43-300 Bielsko-Biała
Poland","Cyniarska 36/99, 43-300 Bielsko-Biała, Poland"
Jiangsu Nanjing,"Nanjing, Jiangsu, China"
"8 Beech Road
Orpington
BR66BD
United Kingdom","8 Beech Road, Orpington BR6 6BD, United Kingdom"
"150 High Street
Sevenoaks
Kent
TN13 1XE","150 High Street, Sevenoaks, Kent TN13 1LP, UK"
"Embassy House, West End Lane, London, NW6 2NA","Embassy House, West End Lane, London NW6 2NA, UK"
"204 Clarence Street, Apt. 1
Ottawa, Ontario, K1N 5R1
Canada.","204 Clarence Street, Ottawa, Ontario K1N 5R1, Canada"
"Opal Limited
C/O SRLV
89 New Bond Street
LONDON
W1S 1DA
United Kingdom","89 New Bond Street, London W1S 1DA, United Kingdom"
"128 S. Tryon St. Suite 2200
Charlotte, NC 28202","128 S Tryon St, Charlotte, NC 28202, USA"
"5959 Las Colinas Blvd
Irving, Texas
75039","5959 Las Colinas Blvd, Irving, Texas 75039, USA"
"41 Themistoklis Dervis, Hawaii Tower, 1ST Floor, Office 106, 1066 Nicosia, Cyprus",undefined
"Studio 301
Great Western Studios
65 Alfred Road
W2 5EU
///filled.count.soap","Great Western Studios, 65 Alfred Road, London W2 5EU, UK"
"Hyderabad, Telangana , India
Pin Code : 500016
","Hyderabad, Telangana 500016, India"
"208 S Jefferson St, St. 403, Chicago, IL 60661","208 S Jefferson St, Chicago, IL 60661, USA"
"Block B, satellite Town, Rawalpindi","Block B Satellite Town, Rawalpindi, Pakistan"
"Al Barsha, Dubai",Al Barsha - Dubai - United Arab Emirates
"55 Hawthorne St
San Francisco, CA 94105","55 Hawthorne St, San Francisco, CA 94105, USA"
"Burlingame Terrace
CA 94010","Burlingame Terrace, Burlingame, CA 94010, USA"
"601 Poydras St. Ste 1500
New Orleans, LA 70130","601 Poydras St, New Orleans, LA 70130, USA"
"Фазал э Хак Гарден, Шейхупура Роуд, Байгам Кот, Лахор",undefined
"355 S. Grand Ave
Suite 1650
Los Angeles, CA 90071","355 S Grand Ave, Los Angeles, CA 90037, USA"
"601 E 18th Ave.
Denver, CO 80203","601 E 18th Ave, Denver, CO 80203, USA"
"150-8554
Ebisu Subaru Bldg. 1-20-8, Ebisu, Shibuya-ku, Tokyo, Japan","Tully's Coffee Ebisu SUBARU Bldg. Shop, 1 Chome-20-8 Ebisu, Shibuya City, Tokyo, Japan"
"REEF Technology
601 Brickell Key Drive, Suite 1000
Miami, Florida 33131",undefined
"Peonías, 12. 28042, Madrid.","Calle Peonías, 12, 28042 Madrid, Spain"
"29 Hamilton Road
Singapore 209198","29 Hamilton Road, Singapore 209198, Singapore"
Lane no 12 House No 2 Gulshan Iqbal Lalazar 2 Rawalpindi,undefined
"Calle de Pradillo 42,
Madrid 28002
Spain","Calle de Pradillo, 42, 28002 Madrid, Spain"
Kingdom of Saudi Arabia,Kingdom of Saudi Arabia Pavilion - Ghaf Avenue - Dubai - United Arab Emirates
Mobile Notepad Apps,undefined
Pakistan,Pakistan
"1919 Shattuck Avenue
Berkeley, CA 94704
United States of America","1919 Shattuck Avenue, Berkeley, CA 94704, United States of America"
"10 Park Plaza
Boston, MA 02116","10 Park Plaza, Boston, MA 02116, USA"
"1 City Hall Plaza, Boston, MA 02201","1 City Hall Square, Boston, MA 02201, USA"
"5858 Wilson Road Bldg. 367B
Ft. Belvoir, VA 22060-5824",undefined
"28-8, Honkomagome 2-chome, Bunkyo-ku,
Tokyo, Japan","Honkomagome 2-Chome Playground, 2 Chome-9 Honkomagome, Bunkyo City, Tokyo, Japan"
"600 East 4th Street
Charlotte NC, 28202","600 East 4th Street, Charlotte, NC 28202, USA"
"4505 Emperor Blvd
Suite 120
Durham, NC 27703","4505 Emperor Blvd, Durham, NC 27703, USA"
"1120 N Street, Sacramento, CA 95814","1120 N Street, Sacramento, CA 95814, USA"
"101 N. 1st Avenue
Suite 1400
Phoenix, AZ 85003","101 North 1st Avenue, Phoenix, AZ 85003, USA"
"Rua da Lionesa, Centro Empresarial da Lionesa C27
4465-671 Matosinhos
Portugal","Lionesa Business Hub, Leça do Balio, Portugal"
"425 W. Randolph Street
Chicago, IL 60606","425 West Randolph Street, Chicago, IL 60606, USA"
"2002 Summit Blvd, Suite 1800 Atlanta GA 30319","2002 Summit Blvd NE, Atlanta, GA 30319, USA"
"13 Memorial Pkwy SW
Fort Walton Beach, FL 32548","13 Memorial Pkwy SW, Fort Walton Beach, FL 32548, USA"
"8 The Green, Ste A, Dover, DE, 19901","8 The Green, Dover, DE 19901, USA"
"3500 South DuPont Highway, Dover, County of Kent, Delaware 19901","3500 South Dupont Highway, Camden, DE, USA"
"Mind Candy
15 Bonhill Street
London
EC2A 4DN","Mind Candy, 15 Bonhill Street, London EC2A 4DN, UK"
"78 John Miller Way, Suite 326-HD, Kearny NJ 07032",undefined
東京都渋谷区渋谷二丁目24番12号 渋谷スクランブルスクエア36F,"Shibuya Scramble Square, 2 Chome-24-12 Shibuya, Shibuya City, Tokyo, Japan"
"Highland House,
165 The Broadway,
Wimbledon, London,
England,
SW19 1NE","Highlands House the Broadway, The Broadway, London, UK"
"1201 Orange Street  600
Wilmington, DE 19899","1201 North Orange Street, Wilmington, DE 19899, USA"
"Ruchi Khand I, Sharda Nagar, Lucknow","Ruchi Khand 1, Sharda Nagar, Lucknow, Uttar Pradesh, India"
"Jose Vasconcelos 402 local 1 est
Col del Valle
Garza Garcia, NL
66220
Mexico",undefined
"Derech Menachem Begin 121
Tel Aviv
Israel","Derech Menachem Begin 121, Tel Aviv, Israel"
"12130 Millennium Dr.
Suite 2-184
Los Angeles, CA 90094","2-184 Millennium Dr, Los Angeles, CA 90094, USA"
"315 flatbush avenue,  353, brooklyn, ny 11217","315 Flatbush Avenue, Brooklyn, NY 11217, USA"
"237 Kearny Street  9071
San Francisco, CA 94108","237 Kearny Street, San Francisco, CA 94108, USA"
"8 The Green, Suite A, Dover, Kent County, Delaware 19901, USA","8 The Green, Dover, Kent County, Delaware 19901, USA"
"25 W 36th Street, New York, NY 10018","25 West 36th Street, New York, NY 10018, USA"
"PO Box 1856
West Caldwell, NJ 07007","West Caldwell, NJ 07007, USA"
"14900 SW 30th St, Miramar, FL, 33027","14900 SW 30th St, Miramar, FL 33027, USA"
"Draugystės g. 17-1
Kaunas
LT-51229","Draugystės g. 17-1, Kaunas 51229, Lithuania"
"1621 Central Avenue
Cheyenne, WY 82001","1621 Central Avenue, Cheyenne, WY 82001, USA"
"Kazahstan, Astana, Abay street 18 office 306","Abay Street 18, Esil, Kazakhstan"
"4712 Admiralty Way
Suite 747
Marina del Rey, CA 90292","4712 Admiralty Way, Marina del Rey, CA 90292, USA"
"43 hasivim Street
P.O. Box 6802
Petach Tikva Israel 4959501","Ha-Sivim Street 43, Petah Tikva, Israel"
"6479 132ND PL SE, Newcastle, WA 98059","6479 132nd Pl SE, Newcastle, WA 98059, USA"
"2900 - 550 Burrard Street,
Vancouver, BC V6C 0A3
Canada","Fasken (Vancouver), 550 Burrard Street, Vancouver, BC V6C 0A3, Canada"
"Kyiv, Pushkinska str. 10","Pushkinska Street, 10, Kyiv, Ukraine"
"Narva, Estonia","Narva, Estonia"
"112 Kim Seng Road,  22-01
Singapore, 239432","112 Kim Seng Road, Singapore 239432, Singapore"
"ESET North America
610 West Ash Street
Suite 1700
San Diego, CA 92101, U.S.A.","610 West Ash Street, San Diego, CA, USA"
Belo Horizonte - MG,"Belo Horizonte, MG, Brazil"
"27 Old Gloucester Street, London, WC1N 3AX","27 Old Gloucester Street, London WC1N 3AX, UK"
"Chaussée de Charleroi 148
6220 Fleurus
Belgique","Chaussée de Charleroi 148, 6220 Fleurus, Belgique"
"Bahnhofstrasse 100
8001 Zurich, Switzerland","Bahnhofstrasse 100, 8001 Zürich, Switzerland"
"Upplandsgatan 84, 113 44 Stockholm","Upplandsgatan 84, 113 44 Stockholm, Sweden"
"Palo Alto
CA
","Palo Alto, CA, USA"
"3616 Far West Blvd, Ste 117-613.
Austin
TX
Postal Code: 78731
",undefined
"Ramsbury House
1B Charnham Lane
Hungerford
RG17 0EY
United Kingdom","1b Charnham Lane, Hungerford, UK"
İstanbul,"İstanbul, Turkey"
familogcontact@gmail.com,"Contact, NV, USA"
"Philips Electronics UK Limited
Ascent 1.
Aerospace Boulevard
Farnborough
GU14 6XW","Philips UK Head Office - Farnborough, 1 Aerospace Boulevard, Farnborough GU14 6XW, UK"
"PO Box 33407
Takapuna
Auckland 0740
New Zealand","Takapuna, Auckland, New Zealand"
"445011, Тольятти, улица Мира, 82
Россия","улица Мира, 82, Тольятти, Россия, 445011"
"Liverpool, UK","Liverpool, UK"
"84 Updown Hill
Haywards Heath
RH16 4GD","84 Updown Hill, Haywards Heath RH16 4GP, UK"
"Poland, Szczecin","Szczecin, Poland"
"214000, Russia, Smolensk, ul. Dohturova, 3","Smolensk, Smolensk Oblast, Russia, 214000"
"7 Oak Lane
Judea
Tauranga 3010
New Zealand","7 Oak Lane, Judea, Tauranga, New Zealand"
"Sleekbit, llc
2220 Meridian Blvd
Suite # S6811
Minden, NV 89423
",undefined
"78 Rue de Lorraine
83150 Bandol
France","78 Rue de Lorraine, 83150 Bandol, France"
"3432 Denmark Ave.
Ste. 263
Eagan, MN 55123","3432 Denmark Ave, Eagan, MN 55123, USA"
"29/F.,Guangdong Investment Tower,
148 Connaught Road Central,
Hong Kong","Guangdong Investment Tower, 148 Connaught Road Central, Sheung Wan, Hong Kong Island, Hong Kong"
Belarus. Minsk,"Minsk, Belarus"
"HomeyLabs Inc
88 Union Ave 2n Floor
38103 Memphis TN",undefined
"25 Martiou 27, 1st floor, Flat/Office 106, Egkomi, 2408, Nicosia, Cyprus",undefined
"290 chemin de vignaux
31840 Aussonne","290 Chemin de Vignaux, 31840 Aussonne, France"
"2442 Forest Park Blvd. | Fort Worth, TX 76110","2442 Forest Park Blvd, Fort Worth, TX 76110, USA"
Taipei,"TAIPEI 101, Section 5th, Xinyi Road, Xinyi District, Taipei City, Taiwan"
"Ukraine,
Vinnitsa region,
Vinnitsya,
Keletskaya st. 245/23","Keletska St, Vinnytsia, Vinnytsia Oblast, Ukraine"
"St Johns Lodge, Appley Road, Ryde, Isle of Wight, PO33 1NE","Appley Road, Ryde, Isle of Wight PO33 1NE, UK"
"Noerre Farimagsgade 55
1364 Copenhagen K
Denmark","Nørre Farimagsgade 55, 1364 Copenhagen Municipality, Denmark"
"Kidplay Technologies LLC
3315 S Cobb Dr SE Ste 700
# 813421
Smyrna GA, 30080",undefined
"Rua Gomes de Carvalho, 921, sala 22/23, Sao Paulo / SP, 04147-003. Brazil",undefined
"경기도 부천시 소사구 범안로 231-15,701호(옥길동)",undefined
"Am Kirchenholzl 14, 82166 Grafelfing, Germany","Am Kirchenhölzl 14, 82166 Gräfelfing, Germany"
demirtaş mah. prof cemil birsel cad. no:20/614 fatih / ist,"Demirtaş, Ord. Prof. Dr. Cemil Birsel Cd no 20/614, Fatih/İstanbul, Turkey"
"Unit 5, Sheen Stables
119 Sheen Lane
London
SW14 8AE",undefined
"8 THE GREEN, STE A, DOVER DE 19901","8 The Green, Dover, DE 19901, USA"
19 Mayıs Mah. 19 Mayıs Cd. UBM Plaza No.37 Kat.3 Fulya - Şişli / İSTANBUL,"19 Mayıs, UBM Plaza, 19 Mayıs Caddesi, Şişli/İstanbul, Turkey"
"Suite 204, 237 Scottsdale Drive
Robina 4226
QLD Australia","204 Scottsdale Drive, Robina QLD 4226, Australia"
"590 Lipoa Parkway, Suite 110
Kihei, HI 96753","590 Lipoa Parkway, Kihei, HI 96753, USA"
Istanbul / Turkey,"İstanbul, Turkey"
"PO Box 24703
Oakland, CA 94623","Oakland, CA 94623, USA"
"6075 Sunnyslope Dr
Naples FL, 34119
United States","6075 Sunnyslope Dr, Naples, FL 34119, United States"
"8 10th street Suite 614,San Francisco, CA","8 10th Street, San Francisco, California, USA"
"Sector-49, Noida, U.P., India","Sector 49, Noida, Uttar Pradesh, India"
"Solaria Systems, Inc.  PO Box 1126, Millbrook NY 12545",undefined
"8655 Explorer Dr
Colorado Springs, CO 80920","8655 Explorer Dr, Colorado Springs, CO 80920, USA"
"40 Stanbrook Road
B90 4UT Solihull (UK)","40 Stanbrook Road, Shirley, Solihull B90 4YE, UK"
"1 Venture Suite 230, Irvine, CA 92618, USA","1 Venture, Irvine, CA 92618, USA"
We make apps to improve kid's digital well-being!,undefined
Iwonicka 5/12 ; 35-505 Rzeszów,"Iwonicka 5/12, 35-001 Rzeszów, Poland"
"9F 914, 14-2, Pangyoyeok-ro 192beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","Pangyoyeok-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, Republic of Korea"
SmartDaddy Parental Control,"parental control app‏، Rabat Street, Sana'a, Yemen"
愛知県半田市昭和町1-60-10 セントラル知多半田5A,"Japan, 愛知県半田市昭和町１−６０−10 セントラル知多半田"
"Molino Viejo
28032 Madrid (Spain)","Calle Molino Viejo, 28032 Madrid, Spain"
"198 River Street, Cambridge, MA 91780","198 River Street, Cambridge, MA, USA"
"13 Meshooshim St.
Hod-Hasharon,
Israel",undefined
"23 Hata'as St.
Kfar Saba, 4464100
P.O.B. 2096
Israel","HaTa'as St 23, Kfar Saba, Israel"
"Karagümrük mah.
Fatih, 34091 Istanbul, Turkey.","Karagümrük, Fulya mah, Niyazi Misri Sokak, 34091 Fatih/İstanbul, Turkey"
"Luzern, Switzerland","Luzern, Switzerland"
"Cemil Topuzlu caddesi, Mahur sokak Kadıköy Istanbul/Turkey","Caddebostan, Operatör Cemil Topuzlu Caddesi, Kadıköy/İstanbul, Turkey"
"ul. Kobielska 23 / 207
04-359 Warsaw","Kobielska 23, Warsaw, Poland"
3/47-53 Dudley Street Coogee NSW 2034 Australia,"3/47 Dudley Street, Coogee NSW 2034, Australia"
"134 Birches Lane
Alfreton
Derbyshire
DE55 7LZ","134 Birches Lane, South Wingfield, Alfreton, Derbyshire DE55 7LZ, UK"
"Level 3/45 St Georges Tce
Perth
Western Australia
6000","3/45 St Georges Terrace, Perth Western Australia 6000, Australia"
"P.O. Box 1006
Sparks, MD 21152",undefined
"Föhrenweg 4a
85748 Garching
Deutschland","Föhrenweg 4A, 85748 Garching, Deutschland"
"5055 Wilshire Blvd.
Suite  330
Los Angeles, CA 90036","5055 Wilshire Blvd, Los Angeles, CA 90036, USA"
"Bajkalská 9/A
Bratislava 831 04
Slovakia","Bajkalská 9a, Nové Mesto, Slovakia"
"Russia, 125239,  Koptevsky bulvar, 16-3-25",undefined
"Schönbornstraße 33,
76646 Bruchsal","Schönbornstraße 33, 76646 Bruchsal, Germany"
"Keleya Digital-Health Solutions GmbH
Max-Beer-Straße 25
10119 Berlin","Keleya Digital-Health Solutions GmbH, Max-Beer-Straße 25, 10119 Berlin, Germany"
"Suite 2405, Progress Commercial Building, 9 Irving Street, Causeway Bay
Hong Kong
","Progress Commercial Building, 9 Irving Street, Causeway Bay, Hong Kong Island, Hong Kong"
"Saint-Petersburg,
Zvenigorodskaya str. 22
191119
","Zvenigorodskaya Ulitsa, 22, Saint Petersburg, Russia, 191119"
"Biberweg 1a
4030 Linz","Biberweg 1a, 4030 Linz, Austria"
Nizhniy Novgorod,"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia"
"43 Faith Step Ln
Canyon, Tx 79015","43 Faith Step Ln, Canyon, TX 79015, USA"
" 122, 13FL, Mapodae-ro, Mapo-gu,
Seoul, Republic of Korea, 04213","Mapo-daero, Mapo-gu, Seoul, South Korea"
"61 Wangjinghai Road, Software Park, Xiamen City, Fujian Province",undefined
"Vadakkumnalath House
P O Nellayi
Kolathur
Thrissur Dist
PIN 680305","Vadakkumnalath Parapukkara, Parappukkara, Kerala, India"
"Turkey, Eskisehir,Mahmudiye","Mahmudiye, Eskişehir, Turkey"
"Flat G,
Highbury New Park,
London,
N5 2ET","Highbury New Park, London N5 2ET, UK"
"1400 S Bristle Cone Dr, Show Low, AZ 85901","1400 S Bristlecone Dr, Show Low, AZ 85901, USA"
"Weltech Centre, Ridgeway, Welwyn Garden City, England, AL7 2AA","WelTech Business Centre, Ridgeway, Welwyn Garden City AL7 2AA, England, UK"
"Prodromou, 75 ONEWORLD PARKVIEW HOUSE, 4th floor 2063, Nicosia, Cyprus","Prodromou 75, Egkomi, Cyprus"
Ac 13 4 16,"Carrera 13 #4-16, Cali, Valle del Cauca, Colombia"
"E02, Space Sallim 2F
10, Noryangjin-ro, Dongjak-gu
Seoul
Republic of Korea","2 Noryangjin-ro, Dongjak-gu, Seoul, South Korea"
"1712 Pioneer Ave. Suite 101
Cheyenne, Wyoming 82001","1712 Pioneer Ave, Cheyenne, Wyoming 82001, USA"
"Saint-Petersburg, Prof. Popova str., 27","Ulitsa Popova, 27, Saint Petersburg, Russia"
5620 Bremgarten Switzerland,"5620 Bremgarten, Switzerland"
"
EonScope Inc.
2035 Sunset Lake Road Suite B-2 19702 Newark Delaware - USA",undefined
"103 Westbourne park villas, London, UK, W2 5ED","103 Westbourne Park Villas, London W2 5ED, UK"
"4 Brattle St
Cambridge, MA 02138","4 Brattle St, Cambridge, MA 02138, USA"
"521 Charcot Ave  179
San Jose CA 95131","521 Charcot Ave, San Jose, CA 95131, USA"
"6 Upper King Street
Norwich
Norfolk
NR3 1HA
United Kingdom","6 Upper King Street, Norwich, Norfolk NR3 1HA, United Kingdom"
"1 Victoria Street, Bristol, BS1 6AA","1 Victoria Street, Redcliffe, Bristol BS1 6DT, UK"
"59, Ground Floor Kundan Nagar, Laxmi Nagar, New Delhi  110092","Kundan Nagar, Laxmi Nagar, New Delhi, Delhi 110092, India"
〒220-0004 神奈川県横浜市西区北幸1丁目11番1号,"1 Chome-11-1 Kitasaiwai, Nishi Ward, Yokohama, Kanagawa, Japan"
대한민국 제주도 제주시 한경면 칠전로 38 103동 101호,대한민국 제주도 제주시 한경면 칠전로
"Langevang 9
3400 Hillerød
Denmark","Langevang 9, 3400 Hillerød, Denmark"
"〒163-0228
東京都新宿区西新宿2-6-1
新宿住友ビル28階",undefined
"NewOak Software
Poznaňská 2454
Brno 616 00
Czech Republic","Poznaňská 2454, 616 00 Brno-Žabovřesky, Czech Republic"
"Via Olona 21, 20123 Milan - Italy","Via Olona, 21, 20123 Milan, Metropolitan City of Milan, Italy"
"10184 Park Meadows Dr.  1402
Lone Tree, CO. 80124","10184 Park Meadows Dr, Lone Tree, CO 80124, USA"
"620023, Ekaterinburg sity",undefined
